batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,4,2,1,1,1116.787847,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,5,7,1,1,1427.787847,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,6,13,1,1,1738.787847,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,7,18,1,1,2049.787847,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,8,24,2,1,2360.787847,0.18181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,9,19,2,2,3047.651283,0.18181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,10,14,2,2,3352.651283,0.18181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,11,20,2,2,3657.651283,0.18181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,12,25,3,2,3962.651283,0.2727272727272727
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,13,26,3,3,4723.783148,0.2727272727272727
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,14,29,3,3,5022.783148,0.2727272727272727
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,15,30,3,3,5321.783148,0.2727272727272727
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,16,27,5,3,5620.783148,0.45454545454545453
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,17,22,5,5,6600.308019,0.45454545454545453
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,18,16,5,5,6887.308019,0.45454545454545453
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,19,10,5,5,7174.308019,0.45454545454545453
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,20,4,6,5,7461.308019,0.5454545454545454
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,21,5,9,6,8147.494154,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,22,11,9,9,9732.85791,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,23,6,9,9,9995.85791,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,24,12,9,9,10258.85791,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,25,17,10,9,10521.85791,0.9090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,26,23,10,10,11202.67907,0.9090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,27,28,10,10,11459.67907,0.9090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,28,21,10,10,11861.62513,0.9090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,29,3,11,10,12514.62513,1.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,30,0,11,11,13007.750278,1.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,31,1,11,11,13258.750278,1.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,0,,0,0,0.0,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,1,0,0,0,119.0,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,2,5,0,0,428.0,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,3,4,0,0,645.351237,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,4,3,0,0,862.702474,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,5,2,0,0,1080.053711,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,6,1,0,0,1297.404948,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,7,12,0,0,1514.756185,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,8,11,0,0,1732.107422,0.0
