batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,actual_completed_stations,first_all_discovered_station,first_16_discovered_station,stopped_before_station_budget,stop_certificate,final_cleared,final_virtual_time_s,historical_metrics_match,replay_physics_audit_passed
round9_main,bounded,edge_111041_negative,edge,negative,11,baseline31,BASE,31,1,31,22,,0,triangular_halfplane_cover,11,11006.624831,1,1
round9_main,bounded,edge_111041_negative,edge,negative,11,recommended25,FINAL,25,1,25,18,,0,triangular_halfplane_cover,11,6663.86839,1,1
round9_main,bounded,uniform_111042_smooth,uniform,smooth,12,baseline31,BASE,31,1,31,10,,0,triangular_halfplane_cover,12,11600.427347,1,1
round9_main,bounded,uniform_111042_smooth,uniform,smooth,12,recommended25,FINAL,25,1,25,20,,0,triangular_halfplane_cover,12,6294.591958,1,1
round9_main,bounded,outward_111043_smooth,outward,smooth,14,baseline31,BASE,31,1,31,29,,0,triangular_halfplane_cover,14,13120.31114,1,1
round9_main,bounded,outward_111043_smooth,outward,smooth,14,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,14,7937.832447,1,1
round9_main,bounded,inward_111044_smooth,inward,smooth,11,baseline31,BASE,31,1,31,17,,0,triangular_halfplane_cover,11,10890.836182,1,1
round9_main,bounded,inward_111044_smooth,inward,smooth,11,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,11,5743.432433,1,1
round9_main,bounded,tangent_111045_smooth,tangent,smooth,11,baseline31,BASE,31,1,31,18,,0,triangular_halfplane_cover,11,13580.217134,1,1
round9_main,bounded,tangent_111045_smooth,tangent,smooth,11,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,11,7648.308819,1,1
round9_main,bounded,cluster_111046_smooth,cluster,smooth,16,baseline31,BASE,31,1,25,25,25,1,count16,16,9596.692266,1,1
round9_main,bounded,cluster_111046_smooth,cluster,smooth,16,recommended25,FINAL,25,1,22,22,22,1,count16,16,5794.583085,1,1
round9_main,bounded,edge_111047_smooth,edge,smooth,12,baseline31,BASE,31,1,31,28,,0,triangular_halfplane_cover,12,10989.947949,1,1
round9_main,bounded,edge_111047_smooth,edge,smooth,12,recommended25,FINAL,25,1,25,19,,0,triangular_halfplane_cover,12,6608.557225,1,1
round9_main,bounded,uniform_111048_spatial_hash,uniform,spatial_hash,13,baseline31,BASE,31,1,31,20,,0,triangular_halfplane_cover,13,10915.724563,1,1
round9_main,bounded,uniform_111048_spatial_hash,uniform,spatial_hash,13,recommended25,FINAL,25,1,25,16,,0,triangular_halfplane_cover,13,6885.715264,1,1
round9_main,bounded,outward_111049_spatial_hash,outward,spatial_hash,14,baseline31,BASE,31,1,31,24,,0,triangular_halfplane_cover,14,13438.383372,1,1
round9_main,bounded,outward_111049_spatial_hash,outward,spatial_hash,14,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,14,9229.493063,1,1
round9_main,bounded,inward_111050_spatial_hash,inward,spatial_hash,13,baseline31,BASE,31,1,31,15,,0,triangular_halfplane_cover,13,10776.819837,1,1
round9_main,bounded,inward_111050_spatial_hash,inward,spatial_hash,13,recommended25,FINAL,25,1,25,10,,0,triangular_halfplane_cover,13,5372.270305,1,1
round9_main,bounded,tangent_111051_spatial_hash,tangent,spatial_hash,14,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,14,10498.096786,1,1
round9_main,bounded,tangent_111051_spatial_hash,tangent,spatial_hash,14,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,14,5919.815918,1,1
round9_main,bounded,cluster_111052_spatial_hash,cluster,spatial_hash,12,baseline31,BASE,31,1,31,20,,0,triangular_halfplane_cover,12,11395.748419,1,1
round9_main,bounded,cluster_111052_spatial_hash,cluster,spatial_hash,12,recommended25,FINAL,25,1,25,16,,0,triangular_halfplane_cover,12,6284.17707,1,1
