batch,rounding,layout_id,family,error_mode,source_count,arm,station_budget,conditions_per_layout_per_arm,actual_completed_stations,station_index,discovered_channels,discovered_fraction,value_kind,beyond_station_budget
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,29,11,1.0,post_stop_carry_forward,1
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,30,11,1.0,post_stop_carry_forward,1
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,31,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,0,0,0.0,initial,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,1,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,2,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,3,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,4,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,5,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,6,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,7,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,8,2,0.18181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,9,2,0.18181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,10,2,0.18181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,11,2,0.18181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,12,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,13,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,14,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,15,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,16,5,0.45454545454545453,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,17,5,0.45454545454545453,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,18,5,0.45454545454545453,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,19,5,0.45454545454545453,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,20,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,21,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,22,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,23,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,24,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,25,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,26,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,27,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,28,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,29,11,1.0,observed_scan_endpoint,0
