batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,n_sources_11,6,18,18,0,4.0,5.0,6.0,0.36363636363636365,0.45454545454545453,0.5454545454545454
round9_main,baseline31,n_sources_11,7,18,18,0,4.25,6.0,6.0,0.38636363636363635,0.5454545454545454,0.5454545454545454
round9_main,baseline31,n_sources_11,8,18,18,0,4.25,6.0,6.75,0.38636363636363635,0.5454545454545454,0.6136363636363636
round9_main,baseline31,n_sources_11,9,18,18,0,5.0,6.0,7.0,0.45454545454545453,0.5454545454545454,0.6363636363636364
round9_main,baseline31,n_sources_11,10,18,18,0,6.0,6.5,7.0,0.5454545454545454,0.5909090909090908,0.6363636363636364
round9_main,baseline31,n_sources_11,11,18,18,0,6.0,7.0,8.0,0.5454545454545454,0.6363636363636364,0.7272727272727273
round9_main,baseline31,n_sources_11,12,18,18,0,6.0,7.0,8.0,0.5454545454545454,0.6363636363636364,0.7272727272727273
round9_main,baseline31,n_sources_11,13,18,18,0,6.0,8.0,9.0,0.5454545454545454,0.7272727272727273,0.8181818181818182
round9_main,baseline31,n_sources_11,14,18,18,0,6.5,9.0,9.0,0.5909090909090908,0.8181818181818182,0.8181818181818182
round9_main,baseline31,n_sources_11,15,18,18,0,6.5,9.0,10.0,0.5909090909090908,0.8181818181818182,0.9090909090909091
round9_main,baseline31,n_sources_11,16,18,18,0,8.0,9.5,10.75,0.7272727272727273,0.8636363636363636,0.9772727272727273
round9_main,baseline31,n_sources_11,17,18,18,0,8.0,10.0,11.0,0.7272727272727273,0.9090909090909091,1.0
round9_main,baseline31,n_sources_11,18,18,18,0,8.0,10.5,11.0,0.7272727272727273,0.9545454545454546,1.0
round9_main,baseline31,n_sources_11,19,18,18,0,9.0,10.5,11.0,0.8181818181818182,0.9545454545454546,1.0
round9_main,baseline31,n_sources_11,20,18,18,0,9.0,10.5,11.0,0.8181818181818182,0.9545454545454546,1.0
round9_main,baseline31,n_sources_11,21,18,18,0,10.25,11.0,11.0,0.9318181818181818,1.0,1.0
round9_main,baseline31,n_sources_11,22,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,23,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,24,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,25,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,26,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,27,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,28,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,29,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,30,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,31,18,18,0,11.0,11.0,11.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,0,12,12,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_12,1,12,12,0,0.0,4.0,6.0,0.0,0.3333333333333333,0.5
round9_main,baseline31,n_sources_12,2,12,12,0,3.75,5.5,8.25,0.3125,0.45833333333333337,0.6875
round9_main,baseline31,n_sources_12,3,12,12,0,4.0,6.5,8.25,0.3333333333333333,0.5416666666666667,0.6875
round9_main,baseline31,n_sources_12,4,12,12,0,4.0,7.5,9.25,0.3333333333333333,0.625,0.7708333333333334
round9_main,baseline31,n_sources_12,5,12,12,0,4.0,7.5,9.25,0.3333333333333333,0.625,0.7708333333333334
round9_main,baseline31,n_sources_12,6,12,12,0,4.0,7.5,10.0,0.3333333333333333,0.625,0.8333333333333334
round9_main,baseline31,n_sources_12,7,12,12,0,4.0,8.0,10.0,0.3333333333333333,0.6666666666666667,0.8333333333333334
round9_main,baseline31,n_sources_12,8,12,12,0,6.0,8.5,10.0,0.5,0.7083333333333333,0.8333333333333334
