layout_id,seed,family,error_mode,rounding,case_id,BASE,PARALLAX,ADAPT_SHARED,ADAPT_GATED,PAIR_GATED,ADAPT_SHADOW,ADAPT_VALUE_GATE,ADAPT_ENTRY
cluster_3eff2dd5cd69ec42,191070,cluster,spatial_hash,bounded,cluster_3eff2dd5cd69ec42__spatial_hash__bounded,3969.950635,3880.990167,3849.855822,3823.674259,3846.453012,3823.674259,3826.533543,3823.674259
cluster_3eff2dd5cd69ec42,191070,cluster,spatial_hash,pre_round_stress,cluster_3eff2dd5cd69ec42__spatial_hash__pre_round_stress,3969.950635,3880.990167,3849.855822,3823.674259,3846.453012,3823.674259,3826.533543,3823.674259
cluster_4089d728543aa374,191094,cluster,negative,bounded,cluster_4089d728543aa374__negative__bounded,6934.985707,6712.682994,6626.205474,6621.205474,6759.310517,6614.205474,6621.205474,6621.205474
cluster_4089d728543aa374,191094,cluster,negative,pre_round_stress,cluster_4089d728543aa374__negative__pre_round_stress,6946.00961,6713.079171,6626.619733,6621.619733,6775.340949,6614.619733,6621.619733,6621.619733
cluster_4089d728543aa374,191094,cluster,positive,bounded,cluster_4089d728543aa374__positive__bounded,7434.741447,7485.762536,6643.129985,6644.511107,7264.623861,6644.511107,6644.511107,6644.511107
cluster_4089d728543aa374,191094,cluster,positive,pre_round_stress,cluster_4089d728543aa374__positive__pre_round_stress,7435.852088,7485.774326,6643.312729,6644.691529,7265.058923,6644.691529,6644.691529,6644.691529
cluster_4089d728543aa374,191094,cluster,smooth,bounded,cluster_4089d728543aa374__smooth__bounded,7057.168648,7655.353868,6716.748818,6742.285798,6754.831132,6742.285798,6742.285798,7108.19224
cluster_4089d728543aa374,191094,cluster,smooth,pre_round_stress,cluster_4089d728543aa374__smooth__pre_round_stress,7057.168648,7655.353868,6716.748818,6742.285798,6754.831132,6742.285798,6742.285798,7108.19224
cluster_4089d728543aa374,191094,cluster,spatial_hash,bounded,cluster_4089d728543aa374__spatial_hash__bounded,7156.794783,7772.716366,6678.681733,6678.681733,7073.129978,6673.681733,6678.681733,6678.681733
cluster_4089d728543aa374,191094,cluster,spatial_hash,pre_round_stress,cluster_4089d728543aa374__spatial_hash__pre_round_stress,7156.794783,7772.716366,6678.681733,6678.681733,7073.129978,6673.681733,6678.681733,6678.681733
cluster_4b0c6be378a1fb7a,191028,cluster,negative,bounded,cluster_4b0c6be378a1fb7a__negative__bounded,6028.399723,6252.724909,6021.741482,6019.96018,6027.815252,6019.96018,6019.96018,6019.96018
cluster_4b0c6be378a1fb7a,191028,cluster,negative,pre_round_stress,cluster_4b0c6be378a1fb7a__negative__pre_round_stress,6028.299594,6252.942227,6021.809117,6020.036798,6027.939092,6020.036798,6020.036798,6020.036798
cluster_4b0c6be378a1fb7a,191028,cluster,positive,bounded,cluster_4b0c6be378a1fb7a__positive__bounded,5971.228191,6106.658632,6089.979798,6085.918894,5962.705161,6085.918894,6085.918894,6070.83608
cluster_4b0c6be378a1fb7a,191028,cluster,positive,pre_round_stress,cluster_4b0c6be378a1fb7a__positive__pre_round_stress,5971.282004,6106.719423,6090.000053,6085.962465,5962.74924,6085.962465,6085.962465,6070.879651
cluster_4b0c6be378a1fb7a,191028,cluster,smooth,bounded,cluster_4b0c6be378a1fb7a__smooth__bounded,5966.260539,6098.0697,5977.3959,5967.494334,5947.041448,5967.494334,5967.494334,5966.190243
cluster_4b0c6be378a1fb7a,191028,cluster,smooth,pre_round_stress,cluster_4b0c6be378a1fb7a__smooth__pre_round_stress,5966.16521,6097.9651,5977.29399,5967.389734,5946.946119,5967.389734,5967.389734,5966.085643
cluster_4b0c6be378a1fb7a,191028,cluster,spatial_hash,bounded,cluster_4b0c6be378a1fb7a__spatial_hash__bounded,5998.02333,6085.287867,5977.246155,5976.226338,5971.228806,5976.226338,5976.226338,5976.226338
cluster_4b0c6be378a1fb7a,191028,cluster,spatial_hash,pre_round_stress,cluster_4b0c6be378a1fb7a__spatial_hash__pre_round_stress,5998.02333,6085.287867,5977.246155,5976.226338,5971.228806,5976.226338,5976.226338,5976.226338
cluster_4d156bbcc25ba03a,191040,cluster,negative,bounded,cluster_4d156bbcc25ba03a__negative__bounded,6144.577675,5750.795427,5826.514577,5738.524939,6929.764166,5738.524939,5740.980031,5738.524939
cluster_4d156bbcc25ba03a,191040,cluster,negative,pre_round_stress,cluster_4d156bbcc25ba03a__negative__pre_round_stress,6142.802559,5750.337464,5827.008959,5738.469237,6927.933152,5738.469237,5741.36889,5738.469237
cluster_4d156bbcc25ba03a,191040,cluster,positive,bounded,cluster_4d156bbcc25ba03a__positive__bounded,7361.976619,7050.327106,8393.833383,7151.521567,8454.952915,7151.521567,7154.624632,8189.019644
cluster_4d156bbcc25ba03a,191040,cluster,positive,pre_round_stress,cluster_4d156bbcc25ba03a__positive__pre_round_stress,7362.062875,7049.710628,8414.332769,7150.901436,8455.053241,7150.901436,7154.553907,8189.940436
cluster_4d156bbcc25ba03a,191040,cluster,smooth,bounded,cluster_4d156bbcc25ba03a__smooth__bounded,6127.67159,5764.866863,5721.378606,5765.453063,7447.022563,5765.453063,5724.178172,5767.86121
cluster_4d156bbcc25ba03a,191040,cluster,smooth,pre_round_stress,cluster_4d156bbcc25ba03a__smooth__pre_round_stress,6127.67159,5764.866863,5721.378606,5765.453063,7447.022563,5765.453063,5724.178172,5767.86121
cluster_4d156bbcc25ba03a,191040,cluster,spatial_hash,bounded,cluster_4d156bbcc25ba03a__spatial_hash__bounded,7188.687814,7265.108415,7543.409838,7527.876677,7348.683501,7522.876677,7523.747942,7439.313266
cluster_4d156bbcc25ba03a,191040,cluster,spatial_hash,pre_round_stress,cluster_4d156bbcc25ba03a__spatial_hash__pre_round_stress,7188.687814,7265.108415,7543.409838,7527.876677,7348.683501,7522.876677,7523.747942,7439.313266
cluster_5299d21116b46601,191034,cluster,negative,bounded,cluster_5299d21116b46601__negative__bounded,3852.643301,3883.933375,3822.056801,3776.203671,3796.181295,3776.203671,3776.203671,3776.203671
cluster_5299d21116b46601,191034,cluster,negative,pre_round_stress,cluster_5299d21116b46601__negative__pre_round_stress,3852.574402,3892.380855,3821.941021,3776.148327,3800.901388,3776.148327,3776.148327,3776.148327
cluster_5299d21116b46601,191034,cluster,positive,bounded,cluster_5299d21116b46601__positive__bounded,3474.15781,2507.991565,2443.884171,2395.828151,2421.617097,2395.828151,2395.828151,2395.828151
cluster_5299d21116b46601,191034,cluster,positive,pre_round_stress,cluster_5299d21116b46601__positive__pre_round_stress,3486.745283,2508.066446,2443.910931,2395.856578,2421.487891,2395.856578,2395.856578,2395.856578
cluster_5299d21116b46601,191034,cluster,smooth,bounded,cluster_5299d21116b46601__smooth__bounded,2769.985296,2426.336814,2465.307551,2393.37942,2369.749314,2393.37942,2393.37942,2393.37942
cluster_5299d21116b46601,191034,cluster,smooth,pre_round_stress,cluster_5299d21116b46601__smooth__pre_round_stress,2770.022318,2426.375961,2465.335997,2393.420889,2369.789599,2393.420889,2393.420889,2393.420889
cluster_5299d21116b46601,191034,cluster,spatial_hash,bounded,cluster_5299d21116b46601__spatial_hash__bounded,2622.1495,2547.096656,2472.518511,2398.158067,2371.369231,2398.158067,2398.158067,2398.158067
cluster_5299d21116b46601,191034,cluster,spatial_hash,pre_round_stress,cluster_5299d21116b46601__spatial_hash__pre_round_stress,2622.1495,2547.096656,2472.518511,2398.158067,2371.369231,2398.158067,2398.158067,2398.158067
cluster_5f04f4147959c5b0,191010,cluster,negative,bounded,cluster_5f04f4147959c5b0__negative__bounded,6518.728796,6377.065437,5613.012761,6357.242741,6270.747912,6357.242741,6357.242741,6717.395192
cluster_5f04f4147959c5b0,191010,cluster,negative,pre_round_stress,cluster_5f04f4147959c5b0__negative__pre_round_stress,6518.635793,6377.037584,5613.018716,6357.174721,6270.751612,6357.174721,6357.174721,6717.325547
cluster_5f04f4147959c5b0,191010,cluster,positive,bounded,cluster_5f04f4147959c5b0__positive__bounded,7169.513549,7298.058338,6826.287933,7406.43807,6921.587923,7406.43807,7406.43807,7576.964841
cluster_5f04f4147959c5b0,191010,cluster,positive,pre_round_stress,cluster_5f04f4147959c5b0__positive__pre_round_stress,7169.388631,7297.905689,6826.290914,7401.127892,6921.534304,7401.127892,7401.127892,7580.110492
cluster_5f04f4147959c5b0,191010,cluster,smooth,bounded,cluster_5f04f4147959c5b0__smooth__bounded,6460.345314,6323.762849,6092.766214,6319.223578,6256.622632,6319.223578,6319.223578,6743.692119
cluster_5f04f4147959c5b0,191010,cluster,smooth,pre_round_stress,cluster_5f04f4147959c5b0__smooth__pre_round_stress,6460.345314,6323.762849,6092.766214,6319.223578,6256.622632,6319.223578,6319.223578,6743.692119
cluster_5f04f4147959c5b0,191010,cluster,spatial_hash,bounded,cluster_5f04f4147959c5b0__spatial_hash__bounded,6506.475486,6399.873564,5637.84948,5638.446782,5836.28293,5638.446782,5638.446782,5629.936383
cluster_5f04f4147959c5b0,191010,cluster,spatial_hash,pre_round_stress,cluster_5f04f4147959c5b0__spatial_hash__pre_round_stress,6506.475486,6399.873564,5637.84948,5638.446782,5836.28293,5638.446782,5638.446782,5629.936383
cluster_6e055d5f2ff53696,191118,cluster,negative,bounded,cluster_6e055d5f2ff53696__negative__bounded,6201.443305,6918.986056,6930.697005,6924.791723,6207.248972,6924.791723,6924.791723,6581.101161
cluster_6e055d5f2ff53696,191118,cluster,negative,pre_round_stress,cluster_6e055d5f2ff53696__negative__pre_round_stress,6201.46794,6919.015906,6930.710911,6924.804771,6207.256805,6924.804771,6924.804771,6581.114209
cluster_6e055d5f2ff53696,191118,cluster,positive,bounded,cluster_6e055d5f2ff53696__positive__bounded,6122.671304,6161.504306,6176.615013,6170.655966,6138.111069,6170.655966,6170.655966,6170.655966
cluster_6e055d5f2ff53696,191118,cluster,positive,pre_round_stress,cluster_6e055d5f2ff53696__positive__pre_round_stress,6122.626895,6169.006314,6184.120176,6178.162036,6138.06929,6178.162036,6178.162036,6178.162036
cluster_6e055d5f2ff53696,191118,cluster,smooth,bounded,cluster_6e055d5f2ff53696__smooth__bounded,6122.419215,6130.044845,6143.966153,6137.943585,6136.793641,6137.943585,6137.943585,6137.943585
cluster_6e055d5f2ff53696,191118,cluster,smooth,pre_round_stress,cluster_6e055d5f2ff53696__smooth__pre_round_stress,6122.373474,6129.99873,6143.920038,6137.89747,6136.7479,6137.89747,6137.89747,6137.89747
cluster_6e055d5f2ff53696,191118,cluster,spatial_hash,bounded,cluster_6e055d5f2ff53696__spatial_hash__bounded,6133.738573,6169.595155,6173.902067,6169.276414,6141.648814,6169.276414,6169.276414,6169.276414
cluster_6e055d5f2ff53696,191118,cluster,spatial_hash,pre_round_stress,cluster_6e055d5f2ff53696__spatial_hash__pre_round_stress,6133.738573,6169.595155,6173.902067,6169.276414,6141.648814,6169.276414,6169.276414,6169.276414
cluster_90516f1575f8c145,191052,cluster,negative,bounded,cluster_90516f1575f8c145__negative__bounded,5882.859592,5790.17934,5742.841818,5794.338846,5902.497144,5794.338846,5794.338846,5794.338846
cluster_90516f1575f8c145,191052,cluster,negative,pre_round_stress,cluster_90516f1575f8c145__negative__pre_round_stress,5882.967767,5790.242892,5742.927476,5794.386597,5902.564089,5794.386597,5794.386597,5794.386597
cluster_90516f1575f8c145,191052,cluster,positive,bounded,cluster_90516f1575f8c145__positive__bounded,5899.947201,5824.171414,5768.966012,5826.715969,5924.823002,5826.715969,5826.715969,5826.715969
cluster_90516f1575f8c145,191052,cluster,positive,pre_round_stress,cluster_90516f1575f8c145__positive__pre_round_stress,5899.814661,5824.508508,5768.904058,5827.022018,5924.739602,5827.022018,5827.022018,5827.022018
cluster_90516f1575f8c145,191052,cluster,smooth,bounded,cluster_90516f1575f8c145__smooth__bounded,5835.053284,5779.868088,5868.155446,5816.271848,5877.861513,5816.271848,5816.271848,5816.271848
cluster_90516f1575f8c145,191052,cluster,smooth,pre_round_stress,cluster_90516f1575f8c145__smooth__pre_round_stress,5835.053284,5779.868088,5868.155446,5816.271848,5877.861513,5816.271848,5816.271848,5816.271848
cluster_90516f1575f8c145,191052,cluster,spatial_hash,bounded,cluster_90516f1575f8c145__spatial_hash__bounded,5830.74632,5821.001891,5902.466113,5840.945891,5869.879341,5840.945891,5840.945891,5840.945891
cluster_90516f1575f8c145,191052,cluster,spatial_hash,pre_round_stress,cluster_90516f1575f8c145__spatial_hash__pre_round_stress,5830.74632,5821.001891,5902.466113,5840.945891,5869.879341,5840.945891,5840.945891,5840.945891
cluster_92dd59e9edfe9c83,191004,cluster,negative,bounded,cluster_92dd59e9edfe9c83__negative__bounded,6427.567901,6849.381714,6973.633052,6909.805665,6402.634443,6874.805665,6890.298762,7394.959524
cluster_92dd59e9edfe9c83,191004,cluster,negative,pre_round_stress,cluster_92dd59e9edfe9c83__negative__pre_round_stress,6427.509931,6849.323691,6973.643212,6909.815828,6402.561382,6874.815828,6890.317203,7394.971636
cluster_92dd59e9edfe9c83,191004,cluster,positive,bounded,cluster_92dd59e9edfe9c83__positive__bounded,6331.796223,6347.225801,6359.399167,6353.399167,6362.255926,6353.399167,6353.399167,6353.399167
cluster_92dd59e9edfe9c83,191004,cluster,positive,pre_round_stress,cluster_92dd59e9edfe9c83__positive__pre_round_stress,6331.76605,6347.210612,6359.336339,6353.336339,6362.181373,6353.336339,6353.336339,6353.336339
cluster_92dd59e9edfe9c83,191004,cluster,smooth,bounded,cluster_92dd59e9edfe9c83__smooth__bounded,6309.826722,6314.429317,6336.542469,6324.543198,6329.675843,6324.543198,6324.543198,6324.543198
cluster_92dd59e9edfe9c83,191004,cluster,smooth,pre_round_stress,cluster_92dd59e9edfe9c83__smooth__pre_round_stress,6309.826722,6314.429317,6336.542469,6324.543198,6329.675843,6324.543198,6324.543198,6324.543198
cluster_92dd59e9edfe9c83,191004,cluster,spatial_hash,bounded,cluster_92dd59e9edfe9c83__spatial_hash__bounded,6332.737229,6321.566924,6339.649379,6324.548278,6358.767919,6324.548278,6324.548278,6324.548278
cluster_92dd59e9edfe9c83,191004,cluster,spatial_hash,pre_round_stress,cluster_92dd59e9edfe9c83__spatial_hash__pre_round_stress,6332.737229,6321.566924,6339.649379,6324.548278,6358.767919,6324.548278,6324.548278,6324.548278
cluster_9352f4b8535a6ccc,191106,cluster,negative,bounded,cluster_9352f4b8535a6ccc__negative__bounded,6236.921222,6180.137126,6194.702351,6180.137126,6236.921222,6180.137126,6184.943227,6180.137126
cluster_9352f4b8535a6ccc,191106,cluster,negative,pre_round_stress,cluster_9352f4b8535a6ccc__negative__pre_round_stress,6236.927199,6180.141267,6194.714295,6180.141267,6236.927199,6180.141267,6184.934543,6180.141267
cluster_9352f4b8535a6ccc,191106,cluster,positive,bounded,cluster_9352f4b8535a6ccc__positive__bounded,6235.11721,6157.217432,6173.945381,6157.217432,6235.11721,6157.217432,6167.406445,6157.217432
cluster_9352f4b8535a6ccc,191106,cluster,positive,pre_round_stress,cluster_9352f4b8535a6ccc__positive__pre_round_stress,6242.683645,6141.037878,6157.735925,6141.037878,6242.683645,6141.037878,6151.058371,6141.037878
cluster_9352f4b8535a6ccc,191106,cluster,smooth,bounded,cluster_9352f4b8535a6ccc__smooth__bounded,6240.444315,6164.718105,6178.606157,6158.348874,6214.85104,6158.348874,6157.122839,6158.348874
cluster_9352f4b8535a6ccc,191106,cluster,smooth,pre_round_stress,cluster_9352f4b8535a6ccc__smooth__pre_round_stress,6240.444315,6164.714499,6178.607951,6158.345268,6214.85104,6158.345268,6157.122839,6158.345268
cluster_9352f4b8535a6ccc,191106,cluster,spatial_hash,bounded,cluster_9352f4b8535a6ccc__spatial_hash__bounded,6225.033924,6173.192601,6189.554337,6173.192601,6225.033924,6173.192601,6164.742191,6173.192601
cluster_9352f4b8535a6ccc,191106,cluster,spatial_hash,pre_round_stress,cluster_9352f4b8535a6ccc__spatial_hash__pre_round_stress,6225.033924,6173.192601,6189.554337,6173.192601,6225.033924,6173.192601,6164.742191,6173.192601
