rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
pre_round_stress,final_outer_910037_negative,3295.622517,2880.077381,-415.54513599999973,-12.609002816811365,True,True,-352.5451353886085,16.0,80.0,-159.0,0.0
pre_round_stress,final_cluster_910038_spatial_hash,2836.752263,2656.066787,-180.68547599999965,-6.369448554133383,True,True,-206.68547777600293,11.0,60.0,-45.0,0.0
pre_round_stress,final_cluster_910038_smooth,2741.663513,2640.884915,-100.77859799999987,-3.675819352817855,True,True,-135.77859653743553,11.0,60.0,-36.0,0.0
pre_round_stress,final_cluster_910038_positive,2652.8287,2641.320667,-11.508033000000069,-0.4338023408748559,True,True,-70.50803356487768,11.0,60.0,-12.0,0.0
pre_round_stress,final_cluster_910038_negative,2817.740565,2646.312392,-171.42817300000024,-6.083887747841688,True,True,-179.42816957517562,11.0,60.0,-63.0,0.0
pre_round_stress,final_min_radius_910039_spatial_hash,4208.010124,3356.993347,-851.0167770000003,-20.223734067232968,True,True,-932.0167764158855,12.0,75.0,-6.0,0.0
pre_round_stress,final_min_radius_910039_smooth,4466.92674,3367.685207,-1099.241533,-24.608452230850773,True,True,-1164.2415370136036,9.0,65.0,-9.0,0.0
pre_round_stress,final_min_radius_910039_positive,4387.491912,3395.374962,-992.1169500000005,-22.612393820864106,True,True,-1069.116948251481,11.0,75.0,-9.0,0.0
pre_round_stress,final_min_radius_910039_negative,3975.700425,3370.238622,-605.4618030000001,-15.229059996390449,True,True,-628.4618019673931,8.0,60.0,-45.0,0.0
pre_round_stress,final_radial_910040_spatial_hash,2424.83846,2537.788083,112.94962299999997,4.658026704178875,True,True,59.94962591514036,11.0,60.0,-18.0,0.0
pre_round_stress,final_radial_910040_smooth,2556.681368,2452.069889,-104.61147900000014,-4.091690122568304,True,True,-146.61147801688617,12.0,60.0,-30.0,0.0
pre_round_stress,final_radial_910040_positive,2519.053093,2422.531959,-96.52113400000007,-3.831643496050763,True,True,-155.52113198127404,10.0,55.0,-6.0,0.0
pre_round_stress,final_radial_910040_negative,2586.739829,2440.185116,-146.554713,-5.665614738558999,True,True,-181.55471290356854,11.0,60.0,-36.0,0.0
pre_round_stress,final_reception_edge_910041_spatial_hash,4122.13283,3472.37566,-649.7571699999994,-15.762645135333974,True,True,-649.7571698918296,3.0,30.0,-33.0,0.0
pre_round_stress,final_reception_edge_910041_smooth,4409.65228,3463.755066,-945.8972140000001,-21.450607756310436,True,True,-913.8972138839695,0.0,25.0,-57.0,0.0
pre_round_stress,final_reception_edge_910041_positive,3659.610264,3489.00474,-170.60552400000006,-4.66184953294797,True,True,-204.6055242036664,5.0,50.0,-21.0,0.0
pre_round_stress,final_reception_edge_910041_negative,3893.598073,3498.853821,-394.74425199999996,-10.138289689871637,True,True,-374.74424934609397,5.0,50.0,-75.0,0.0
pre_round_stress,final_uniform_910042_spatial_hash,4222.339713,3382.514649,-839.8250640000001,-19.890040145616293,True,True,-854.8250645628077,9.0,75.0,-69.0,0.0
pre_round_stress,final_uniform_910042_smooth,3773.290881,3315.74286,-457.54802100000006,-12.12596736986098,True,True,-465.54801929661016,8.0,75.0,-75.0,0.0
pre_round_stress,final_uniform_910042_positive,4094.268596,3247.352429,-846.9161669999999,-20.685408080637803,True,True,-856.9161708916072,-1.0,20.0,-9.0,0.0
pre_round_stress,final_uniform_910042_negative,3853.942273,3370.538202,-483.40407099999993,-12.54310616914629,True,True,-456.40406526449397,8.0,70.0,-105.0,0.0
pre_round_stress,final_outer_910043_spatial_hash,3291.00066,3680.266836,389.26617599999963,11.828201091883095,True,True,216.2661741091033,26.0,165.0,-18.0,0.0
pre_round_stress,final_outer_910043_smooth,3950.555188,3669.912536,-280.642652,-7.10387878778318,True,True,-319.6426525769625,9.0,75.0,-45.0,0.0
pre_round_stress,final_outer_910043_positive,3343.495498,3678.939487,335.4439889999999,10.032733383390369,True,True,164.44398617275965,25.0,155.0,-9.0,0.0
pre_round_stress,final_outer_910043_negative,4092.708996,3664.263947,-428.4450489999999,-10.468495302713677,True,True,-401.44504684043795,9.0,75.0,-111.0,0.0
pre_round_stress,final_cluster_910044_spatial_hash,2161.366109,2088.289992,-73.07611700000007,-3.381015215132166,True,True,-115.07611760858777,10.0,50.0,-18.0,0.0
