case_id,AB,ABD,ABO,ABOD,ABS,ABSD,ABSO,ABSOD
dev_2_positive,5805.67023,5806.341252,5805.67023,5806.341252,5068.931008,5068.158835,5068.931008,5068.158835
dev_2_smooth,6733.37621,6733.37621,6122.772516,6120.421448,5932.516654,5933.523763,5470.212426,5469.548412
dev_2_spatial_hash,5831.095014,5831.660214,5831.095014,5831.660214,5032.906801,5030.630128,5032.906801,5030.630128
dev_3_negative,5122.458779,5100.338673,4821.335796,4813.479815,4810.370004,4788.249898,4488.609814,4480.753833
dev_3_positive,4898.999398,4889.656131,5359.015475,5353.97444,4661.942496,4660.064251,5242.513325,5237.47229
dev_3_smooth,5045.917615,5042.605712,5209.221827,5206.685859,4735.585313,4732.27341,4423.089984,4420.863904
dev_3_spatial_hash,5056.854555,5053.658479,4797.722993,4789.591747,4739.636054,4736.439978,4507.451108,4499.319862
dev_4_negative,5022.438588,5018.499385,4979.341298,4963.506963,4656.392444,4652.453241,4873.773119,4856.718708
dev_4_positive,4863.418609,4851.254015,5211.408302,5190.029951,4439.198305,4427.033711,5110.368285,5088.989934
dev_4_smooth,4903.175729,4899.133219,4532.550182,4528.507672,4591.680922,4587.638412,4215.239245,4211.196735
dev_4_spatial_hash,4437.629254,4432.463067,4437.629254,4432.463067,4248.954573,4243.788386,4497.791219,4492.756445
dev_5_negative,5830.306701,5809.650276,6012.428239,6002.238628,5767.420743,5745.764424,5913.994014,5901.2631
dev_5_positive,5787.830844,5778.715857,6038.905553,6034.435084,6019.958869,6004.28884,5522.827739,5514.420435
dev_5_smooth,6296.977116,6281.128998,6055.574575,6045.224693,5927.826667,5916.866204,6098.006964,6087.599749
dev_5_spatial_hash,5822.676412,5786.508546,6031.270678,6034.387918,6156.12225,6146.522863,5450.3475,5441.093928
dev_6_negative,5859.030062,5853.503954,6040.902723,6038.783504,6069.678225,6061.462914,5928.562299,5911.403978
dev_6_positive,6017.48747,6010.904502,5980.257657,5976.71985,5383.758325,5375.890443,5134.990541,5128.63805
dev_6_smooth,5695.994887,5693.691635,5879.675183,5871.449977,6325.755707,6319.598198,5590.601849,5583.495157
dev_6_spatial_hash,5794.712945,5793.677645,5849.906557,5848.837094,5515.55741,5513.368308,5402.588941,5400.483219
dev_7_negative,5075.406108,5068.493656,5433.320255,5416.179353,5032.825142,5019.740674,4807.196922,4775.464997
dev_7_positive,5094.293286,5073.90242,5581.624441,5574.055105,4922.920679,4903.744941,5496.785669,5492.391955
dev_7_smooth,5216.523859,5202.786592,5042.792739,5030.892592,4939.742869,4929.296748,4971.33888,4967.904114
dev_7_spatial_hash,5204.409839,5195.908894,5038.114035,5029.810712,4845.511093,4836.408427,4939.458898,4931.155575
dev_8_negative,5040.595971,5030.242619,4676.757195,4666.067282,4578.678285,4568.920046,4545.644308,4535.886069
dev_8_positive,5176.98847,5172.391163,4874.338586,4869.598151,3980.671907,3979.214712,4197.515768,4189.616976
dev_8_smooth,5238.707808,5233.067153,4775.291912,4769.651257,4514.057028,4508.652936,4496.641275,4492.264642
dev_8_spatial_hash,4915.818251,4907.234878,4840.997327,4831.566908,4436.613984,4432.551207,4210.455146,4201.872845
dev_9_negative,5396.302809,5373.34394,5733.623182,5713.540828,5018.84222,5005.527771,5512.009662,5488.598232
dev_9_positive,5369.812726,5355.028931,5770.983082,5743.673361,5628.641919,5601.332198,5628.641919,5601.332198
dev_9_smooth,5367.555568,5356.985177,5672.970639,5669.646739,5385.460105,5382.466403,5385.460105,5382.466403
dev_9_spatial_hash,5347.470109,5340.293337,5654.947726,5650.750009,5458.126219,5454.102028,5325.700868,5321.46093
late_channel20_after_ten,6313.877764,6305.649032,6271.983454,6263.754722,4837.665444,4829.436712,4827.849053,4819.620321
near_at_origin,4424.41919,4415.444561,4779.570955,4768.27825,4432.344529,4421.022686,4576.103011,4564.810306
